6,353
7,267
12,290
19,145
21,151
26,388
27,8
33,381
36,408
37,355
43,23
49,208
56,432
57,396
58,187
60,481
63,436
69,29
73,475
74,183
77,263
88,384
90,27
91,297
94,235
95,150
96,312
101,324
102,132
104,140
106,415
110,413
111,295
112,494
115,456
122,114
123,348
134,491
136,122
140,267
143,54
147,500
150,339
156,8
160,288
164,51
166,52
171,400
172,143
178,23
183,148
191,192
192,151
193,475
195,490
200,201
202,140
208,81
209,82
212,324
213,206
215,207
216,357
219,164
221,317
224,104
228,94
232,292
234,41
236,229
239,453
242,131
244,393
249,190
251,145
253,460
257,316
262,314
265,215
269,49
270,281
274,348
275,457
279,418
280,12
281,272
282,459
286,216
289,339
291,252
295,257
296,232
299,177
302,203
306,135
308,28
312,122
323,490
324,31
325,196
328,183
330,245
335,78
342,238
344,129
349,315
353,272
357,79
360,470
366,328
374,254
390,196
394,54
395,392
407,230
412,377
414,299
415,417
417,10
422,106
423,37
430,53
433,166
435,65
443,1
444,269
450,329
454,273
466,414
474,41
477,96
478,340
482,228
487,179
488,75
492,353
495,465
500,266
501,45
505,379
508,201
512,231
515,247
518,104
525,165
528,48
532,295
536,85
542,464
546,49
551,222
553,137
555,437
557,376
558,137
563,337
566,129
568,45
575,16
577,162
578,396
579,149
588,118
589,241
593,128
609,171
611,23
616,242
619,104
621,433
627,295
630,378
632,464
638,166
639,272
646,41
652,318
654,206
658,481
660,58
664,462
680,311
683,174
684,75
686,240
687,110
695,497
700,66
707,15
708,173
715,274
719,462
722,270
726,204
729,424
730,414
735,337
743,361
745,499
754,170
756,248
757,207
760,348
764,90
765,212
772,272
774,408
780,271
787,214
789,255
792,114
794,310
796,245
799,341
804,444
810,186
811,152
812,147
813,76
820,265
823,112
824,293
831,182
841,438
843,240
849,96
853,343
855,374
857,307
862,392
863,81
865,404
869,102
876,479
877,33
886,31
887,397
888,190
889,232
890,60
891,58
893,87
895,25
896,358
898,267
900,281
901,109
902,235
908,374
915,377
924,200
926,452
933,374
937,45
952,318
962,357
966,8
968,216
972,201
987,138
988,493
989,402
993,349
1003,209
1005,368
1008,139
1012,179
1014,217
1017,473
1018,61
1019,323
1026,174
1029,53
1030,93
1034,39
1036,217
1038,480
1040,272
1042,248
1044,487
1047,109
1051,190
1052,198
1055,141
1057,252
1067,70
1071,259
1074,483
1075,279
1079,455
1081,329
1083,221
1084,347
1088,33
1096,379
1097,351
1100,249
1102,78
1103,112
1105,164
1107,393
1109,26
1113,260
1114,379
1116,401
1124,163
1127,487
1129,403
1137,338
1138,453
1142,438
1143,209
1145,62
1153,478
1154,399
1167,349
1171,201
1172,9
1178,84
1179,83
1182,255
1198,204
1201,54
1203,139
1206,322
1207,425
1208,249
1211,94
1216,449
1231,187
1233,162
1235,386
1246,110
1247,224
1254,119
1273,440
1288,306
1294,188
1297,195
1299,431
1301,293
1303,466
1306,259
1307,166
1316,435
1323,130
1325,130
1329,90
1336,174
1338,2
1340,372
1349,421
1350,140
1362,352
1363,203
1366,406
1368,371
1372,219
1373,39
1378,206
1382,170
1388,356
1391,157
1395,400
1398,76
1401,297
1405,479
1411,122
1418,470
1421,58
1424,493
1425,317
1426,300
1440,452
1442,288
1446,123
1448,431
1457,38
1459,220
1461,380
1464,123
1471,190
1472,199
1473,264
1479,136
1482,291
1483,105
1494,40
1495,448
1500,56
1506,327
1507,451
1509,116
1516,475
1518,424
1520,221
1523,247
1528,385
1544,418
1546,192
1551,98
1552,164
1554,207
1556,77
1559,310
1581,50
1585,103
1588,347
1589,253
1599,92
1600,496
1601,236
1614,3
1616,213
1622,145
1624,377
1625,446
1627,411
1630,89
1633,55
1634,6
1637,76
1646,189
1648,95
1649,490
1652,437
1655,291
1656,365
1659,73
1660,129
1661,15
1665,414
1667,392
1673,396
1676,167
1686,226
1688,278
1697,402
1703,282
1709,102
1710,104
1711,183
1713,287
1716,173
1719,265
1732,213
1733,287
1734,26
1735,274
1737,104
1738,482
1740,467
1741,497
1743,420
1746,205
1748,403
1749,495
1754,130
1755,88
1759,348
1763,9
1774,170
1777,347
1782,56
1784,55
1785,146
1791,200
1800,280
1804,156
1809,148
1810,404
1821,155
1822,188
1825,201
1827,421
1831,205
1832,363
1834,330
1836,204
1842,476
1844,323
1846,259
1849,112
1851,292
1855,375
1859,229
1860,453
1866,142
1868,334
1871,446
1881,141
1882,185
1885,8
1888,148
1890,493
1901,381
1916,291
1918,303
1925,135
1929,255
1933,397
1935,429
1936,47
1937,271
1939,208
1940,37
1941,226
1956,350
1957,250
1959,204
1961,473
1963,493
1964,296
1966,266
1973,308
1981,45
1984,93
1993,142
1996,10
1999,77
2000,211
2002,275
2003,280
2007,391
2013,22
2014,203
2017,30
2018,156
2023,302
2028,259
2036,299
2043,165
2046,455
2047,386
2054,288
2057,216
2058,367
2063,82
2066,30
2067,122
2070,380
2071,476
2076,173
2082,343
2084,396
2101,18
2102,398
2111,242
2113,104
2115,302
2120,455
2122,473
2124,327
2126,8
2128,331
2129,483
